gene	pas	type	frac.c1	frac.c2
Hps6	chr19:46080650:+	3' most exon	1	1
Gbf1	chr19:46360996:+	3' most exon	1	1
Fbxl15	chr19:46404935:+	3' most exon	1	1
Sufu	chr19:46563289:+	3' most exon	1	1
Trim8	chr19:46591008:+	3' most exon	1	1
Gsto1	chr19:47939280:+	3' most exon	1	1
Dusp5	chr19:53616913:+	3' most exon	1	1
Pdcd4	chr19:54004341:+	3' most exon	1	1
Acsl5	chr19:55371118:+	3' most exon	1	1
Atrnl1	chr19:58207833:+	3' most exon	1	1
Emx2	chr19:59539841:+	3' most exon	1	1
Fam45a	chr19:60912138:+	3' most exon	1	1
Grk5	chr19:61168475:+	3' most exon	1	1
Ighmbp2	chr19:3260924:-	3' most exon	1	1
Ppp6r3	chr19:3454960:-	3' most exon	1	1
Lrp5	chr19:3588425:-	Intron	1	1
Tcirg1	chr19:3896050:-	3' most exon	1	1
Ndufs8	chr19:3908867:-	3' most exon	1	1
Ndufv1	chr19:4007533:-	3' most exon	1	1
Rps6kb2	chr19:4156684:-	3' most exon	1	1
Lrfn4	chr19:4611841:-	3' most exon	1	1
Rce1	chr19:4622593:-	3' most exon	1	1
Ccs	chr19:4825366:-	3' most exon	1	1
Dpp3	chr19:4907231:-	3' most exon	1	1
Peli3	chr19:4929717:-	3' most exon	1	1
Rab1b	chr19:5099205:-	3' most exon	1	1
Kat5	chr19:5603016:-	3' most exon	1	1
Sipa1	chr19:5651183:-	3' most exon	1	1
Pcnx3	chr19:5664635:-	3' most exon	1	1
Fam89b	chr19:5728087:-	3' most exon	1	1
Sssca1	chr19:5730263:-	3' most exon	1	1
Scyl1	chr19:5758318:-	3' most exon	1	1
Pola2	chr19:5940546:-	3' most exon	1	1
Zfpl1	chr19:6080762:-	3' most exon	1	1
Sac3d1	chr19:6115995:-	3' most exon	1	1
Snx15	chr19:6119399:-	3' most exon	1	1
Arl2	chr19:6134385:-	3' most exon	1	1
Rps6ka4	chr19:6903574:-	3' most exon	1	1
Esrra	chr19:6985470:-	3' most exon	1	1
Gpr137	chr19:7012560:-	3' most exon	1	1
Fkbp2	chr19:7052075:-	3' most exon	1	1
Vegfb	chr19:7056965:-	3' most exon	1	1
Stip1	chr19:7095192:-	3' most exon	1	1
Cox8a	chr19:7289639:-	3' most exon	1	1
Mark2	chr19:7351223:-	3' most exon	1	1
Slc22a27	chr19:8034112:-	Intron	1	1
Gm24951	chr19:8034112:-	Single exon	1	1
Slc3a2	chr19:8782057:-	3' most exon	1	1
Polr2g	chr19:8867617:-	3' most exon	1	1
Mir5136	chr19:8962877:-	3' most exon	1	1
Snora57	chr19:8962877:-	Single exon	1	1
Rom1	chr19:9001837:-	3' most exon	1	1
Fads2	chr19:10137068:-	3' most exon	1	1
Fen1	chr19:10273628:-	3' most exon	1	1
Tmem216	chr19:10624953:-	3' most exon	1	1
Tmem138	chr19:10644968:-	3' most exon	1	1
Tmem132a	chr19:10932319:-	3' most exon	1	1
Tmem109	chr19:10945150:-	3' most exon	1	1
Stx3	chr19:11851977:-	Intron	1	1
Tle4	chr19:14522639:-	3' most exon	1	1
Psat1	chr19:15979616:-	3' most exon	1	1
E030024N20Rik	chr19:16238587:-	Single exon	1	1
Gm10819	chr19:16340922:-	Single exon	1	1
Ostf1	chr19:18655307:-	3' most exon	1	1
Anxa1	chr19:20447918:-	3' most exon	1	1
Fxn	chr19:24336246:-	3' most exon	1	1
Gm6788	chr19:28837460:-	Single exon	1	1
Gm5822	chr19:28936498:-	Single exon	1	1
Gm10136	chr19:29077989:-	Single exon	1	1
Ak3	chr19:29095322:-	3' most exon	1	1
Plgrkt	chr19:29423089:-	3' most exon	1	1
Ermp1	chr19:29684452:-	3' most exon	1	1
Asah2	chr19:32058683:-	3' most exon	1	1
Sgms1	chr19:32197220:-	3' most exon	1	1
Rpl9-ps6	chr19:32540355:-	Single exon	1	1
Atad1	chr19:32747053:-	3' most exon	1	1
Lipa	chr19:34566806:-	3' most exon	1	1
Ankrd1	chr19:36186455:-	3' most exon	1	1
Cpeb3	chr19:37179140:-	Intron	1	1
Fra10ac1	chr19:38262967:-	3' most exon	1	1
Pdlim1	chr19:40296715:-	3' most exon	1	1
Tm9sf3	chr19:41288176:-	3' most exon	1	1
Frat2	chr19:41920462:-	3' most exon	1	1
Avpi1	chr19:42197731:-	3' most exon	1	1
Hps1	chr19:42829610:-	3' most exon	1	1
Got1	chr19:43574242:-	3' most exon	1	1
Slc25a28	chr19:43738291:-	3' most exon	1	1
Cox15	chr19:43809595:-	3' most exon	1	1
Gm24400	chr19:43921305:-	Single exon	1	1
Chuk	chr19:44147825:-	3' most exon	1	1
Bloc1s2	chr19:44213736:-	3' most exon	1	1
Gm20538	chr19:44624433:-	Intron	1	1
Gm6807	chr19:45524755:-	Single exon	1	1
Poll	chr19:45626765:-	3' most exon	1	1
Npm3	chr19:45822150:-	3' most exon	1	1
Ldb1	chr19:46106939:-	3' most exon	1	1
Nt5c2	chr19:46962842:-	3' most exon	1	1
Usmg5	chr19:47157888:-	3' most exon	1	1
Stn1	chr19:47575537:-	3' most exon	1	1
Itprip	chr19:47969106:-	3' most exon	1	1
Rpl13a-ps1	chr19:50104568:-	Single exon	1	1
Xpnpep1	chr19:53065697:-	3' most exon	1	1
Nutf2-ps1	chr19:53662633:-	Single exon	1	1
Gpam	chr19:55142130:-	3' most exon	1	1
Rab11fip2	chr19:59978787:-	3' most exon	1	1
Fam204a	chr19:60274607:-	3' most exon	1	1
Prdx3	chr19:60939973:-	3' most exon	1	1
